"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B12 Importerte varer";"2017M02";"12-måneders endring (prosent)";1,7
"B12 Importerte varer";"2017M02";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M03";"Konsumprisindeksen (2015=100)";104,4
"B12 Importerte varer";"2017M03";"Månedsendring (prosent)";1
"B12 Importerte varer";"2017M03";"12-måneders endring (prosent)";1,6
"B12 Importerte varer";"2017M03";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M04";"Konsumprisindeksen (2015=100)";104,5
"B12 Importerte varer";"2017M04";"Månedsendring (prosent)";0,1
"B12 Importerte varer";"2017M04";"12-måneders endring (prosent)";0,9
"B12 Importerte varer";"2017M04";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M05";"Konsumprisindeksen (2015=100)";105,1
"B12 Importerte varer";"2017M05";"Månedsendring (prosent)";0,6
"B12 Importerte varer";"2017M05";"12-måneders endring (prosent)";1,3
"B12 Importerte varer";"2017M05";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M06";"Konsumprisindeksen (2015=100)";104,7
"B12 Importerte varer";"2017M06";"Månedsendring (prosent)";-0,4
"B12 Importerte varer";"2017M06";"12-måneders endring (prosent)";0,7
"B12 Importerte varer";"2017M06";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M07";"Konsumprisindeksen (2015=100)";103,9
"B12 Importerte varer";"2017M07";"Månedsendring (prosent)";-0,8
"B12 Importerte varer";"2017M07";"12-måneders endring (prosent)";-0,2
"B12 Importerte varer";"2017M07";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M08";"Konsumprisindeksen (2015=100)";103,2
"B12 Importerte varer";"2017M08";"Månedsendring (prosent)";-0,7
"B12 Importerte varer";"2017M08";"12-måneders endring (prosent)";-0,5
"B12 Importerte varer";"2017M08";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M09";"Konsumprisindeksen (2015=100)";104,9
"B12 Importerte varer";"2017M09";"Månedsendring (prosent)";1,6
"B12 Importerte varer";"2017M09";"12-måneders endring (prosent)";0,3
"B12 Importerte varer";"2017M09";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M10";"Konsumprisindeksen (2015=100)";104,8
"B12 Importerte varer";"2017M10";"Månedsendring (prosent)";-0,1
"B12 Importerte varer";"2017M10";"12-måneders endring (prosent)";-0,1
"B12 Importerte varer";"2017M10";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M11";"Konsumprisindeksen (2015=100)";105,1
"B12 Importerte varer";"2017M11";"Månedsendring (prosent)";0,3
"B12 Importerte varer";"2017M11";"12-måneders endring (prosent)";0,6
"B12 Importerte varer";"2017M11";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2017M12";"Konsumprisindeksen (2015=100)";105
"B12 Importerte varer";"2017M12";"Månedsendring (prosent)";-0,1
"B12 Importerte varer";"2017M12";"12-måneders endring (prosent)";0,5
"B12 Importerte varer";"2017M12";"Konsumprisindeksen. Vekter";316,1
"B12 Importerte varer";"2018M01";"Konsumprisindeksen (2015=100)";102,7
"B12 Importerte varer";"2018M01";"Månedsendring (prosent)";-2,2
"B12 Importerte varer";"2018M01";"12-måneders endring (prosent)";0,3
"B12 Importerte varer";"2018M01";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M02";"Konsumprisindeksen (2015=100)";103,4
"B12 Importerte varer";"2018M02";"Månedsendring (prosent)";0,7
"B12 Importerte varer";"2018M02";"12-måneders endring (prosent)";0
"B12 Importerte varer";"2018M02";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M03";"Konsumprisindeksen (2015=100)";104,4
"B12 Importerte varer";"2018M03";"Månedsendring (prosent)";1
"B12 Importerte varer";"2018M03";"12-måneders endring (prosent)";0
"B12 Importerte varer";"2018M03";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M04";"Konsumprisindeksen (2015=100)";105,2
"B12 Importerte varer";"2018M04";"Månedsendring (prosent)";0,8
"B12 Importerte varer";"2018M04";"12-måneders endring (prosent)";0,7
"B12 Importerte varer";"2018M04";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M05";"Konsumprisindeksen (2015=100)";105,5
"B12 Importerte varer";"2018M05";"Månedsendring (prosent)";0,3
"B12 Importerte varer";"2018M05";"12-måneders endring (prosent)";0,4
"B12 Importerte varer";"2018M05";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M06";"Konsumprisindeksen (2015=100)";105,2
"B12 Importerte varer";"2018M06";"Månedsendring (prosent)";-0,3
"B12 Importerte varer";"2018M06";"12-måneders endring (prosent)";0,5
"B12 Importerte varer";"2018M06";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M07";"Konsumprisindeksen (2015=100)";104,7
"B12 Importerte varer";"2018M07";"Månedsendring (prosent)";-0,5
"B12 Importerte varer";"2018M07";"12-måneders endring (prosent)";0,8
"B12 Importerte varer";"2018M07";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M08";"Konsumprisindeksen (2015=100)";104,5
"B12 Importerte varer";"2018M08";"Månedsendring (prosent)";-0,2
"B12 Importerte varer";"2018M08";"12-måneders endring (prosent)";1,3
"B12 Importerte varer";"2018M08";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M09";"Konsumprisindeksen (2015=100)";105,9
"B12 Importerte varer";"2018M09";"Månedsendring (prosent)";1,3
"B12 Importerte varer";"2018M09";"12-måneders endring (prosent)";1
"B12 Importerte varer";"2018M09";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M10";"Konsumprisindeksen (2015=100)";106,1
"B12 Importerte varer";"2018M10";"Månedsendring (prosent)";0,2
"B12 Importerte varer";"2018M10";"12-måneders endring (prosent)";1,2
"B12 Importerte varer";"2018M10";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M11";"Konsumprisindeksen (2015=100)";106,4
"B12 Importerte varer";"2018M11";"Månedsendring (prosent)";0,3
"B12 Importerte varer";"2018M11";"12-måneders endring (prosent)";1,2
"B12 Importerte varer";"2018M11";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2018M12";"Konsumprisindeksen (2015=100)";106,5
"B12 Importerte varer";"2018M12";"Månedsendring (prosent)";0,1
"B12 Importerte varer";"2018M12";"12-måneders endring (prosent)";1,4
"B12 Importerte varer";"2018M12";"Konsumprisindeksen. Vekter";305,9
"B12 Importerte varer";"2019M01";"Konsumprisindeksen (2015=100)";103,9
"B12 Importerte varer";"2019M01";"Månedsendring (prosent)";-2,4
"B12 Importerte varer";"2019M01";"12-måneders endring (prosent)";1,2
"B12 Importerte varer";"2019M01";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M02";"Konsumprisindeksen (2015=100)";105,8
"B12 Importerte varer";"2019M02";"Månedsendring (prosent)";1,8
"B12 Importerte varer";"2019M02";"12-måneders endring (prosent)";2,3
"B12 Importerte varer";"2019M02";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M03";"Konsumprisindeksen (2015=100)";106,6
"B12 Importerte varer";"2019M03";"Månedsendring (prosent)";0,8
"B12 Importerte varer";"2019M03";"12-måneders endring (prosent)";2,1
"B12 Importerte varer";"2019M03";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M04";"Konsumprisindeksen (2015=100)";107
"B12 Importerte varer";"2019M04";"Månedsendring (prosent)";0,4
"B12 Importerte varer";"2019M04";"12-måneders endring (prosent)";1,7
"B12 Importerte varer";"2019M04";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M05";"Konsumprisindeksen (2015=100)";107,1
"B12 Importerte varer";"2019M05";"Månedsendring (prosent)";0,1
"B12 Importerte varer";"2019M05";"12-måneders endring (prosent)";1,5
"B12 Importerte varer";"2019M05";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M06";"Konsumprisindeksen (2015=100)";107
"B12 Importerte varer";"2019M06";"Månedsendring (prosent)";-0,1
"B12 Importerte varer";"2019M06";"12-måneders endring (prosent)";1,7
"B12 Importerte varer";"2019M06";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M07";"Konsumprisindeksen (2015=100)";106,7
"B12 Importerte varer";"2019M07";"Månedsendring (prosent)";-0,3
"B12 Importerte varer";"2019M07";"12-måneders endring (prosent)";1,9
"B12 Importerte varer";"2019M07";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M08";"Konsumprisindeksen (2015=100)";105,7
"B12 Importerte varer";"2019M08";"Månedsendring (prosent)";-0,9
"B12 Importerte varer";"2019M08";"12-måneders endring (prosent)";1,1
"B12 Importerte varer";"2019M08";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M09";"Konsumprisindeksen (2015=100)";107,4
"B12 Importerte varer";"2019M09";"Månedsendring (prosent)";1,6
"B12 Importerte varer";"2019M09";"12-måneders endring (prosent)";1,4
"B12 Importerte varer";"2019M09";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M10";"Konsumprisindeksen (2015=100)";107,3
"B12 Importerte varer";"2019M10";"Månedsendring (prosent)";-0,1
"B12 Importerte varer";"2019M10";"12-måneders endring (prosent)";1,1
"B12 Importerte varer";"2019M10";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M11";"Konsumprisindeksen (2015=100)";107,5
"B12 Importerte varer";"2019M11";"Månedsendring (prosent)";0,2
"B12 Importerte varer";"2019M11";"12-måneders endring (prosent)";1
"B12 Importerte varer";"2019M11";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2019M12";"Konsumprisindeksen (2015=100)";107,3
"B12 Importerte varer";"2019M12";"Månedsendring (prosent)";-0,2
"B12 Importerte varer";"2019M12";"12-måneders endring (prosent)";0,8
"B12 Importerte varer";"2019M12";"Konsumprisindeksen. Vekter";309
"B12 Importerte varer";"2020M01";"Konsumprisindeksen (2015=100)";106,4
"B12 Importerte varer";"2020M01";"Månedsendring (prosent)";-0,8
"B12 Importerte varer";"2020M01";"12-måneders endring (prosent)";2,4
"B12 Importerte varer";"2020M01";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M02";"Konsumprisindeksen (2015=100)";106,5
"B12 Importerte varer";"2020M02";"Månedsendring (prosent)";0,1
"B12 Importerte varer";"2020M02";"12-måneders endring (prosent)";0,7
"B12 Importerte varer";"2020M02";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M03";"Konsumprisindeksen (2015=100)";107,2
"B12 Importerte varer";"2020M03";"Månedsendring (prosent)";0,7
"B12 Importerte varer";"2020M03";"12-måneders endring (prosent)";0,6
"B12 Importerte varer";"2020M03";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M04";"Konsumprisindeksen (2015=100)";109,3
"B12 Importerte varer";"2020M04";"Månedsendring (prosent)";2
"B12 Importerte varer";"2020M04";"12-måneders endring (prosent)";2,1
"B12 Importerte varer";"2020M04";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M05";"Konsumprisindeksen (2015=100)";110
"B12 Importerte varer";"2020M05";"Månedsendring (prosent)";0,6
"B12 Importerte varer";"2020M05";"12-måneders endring (prosent)";2,7
"B12 Importerte varer";"2020M05";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M06";"Konsumprisindeksen (2015=100)";110,4
"B12 Importerte varer";"2020M06";"Månedsendring (prosent)";0,4
"B12 Importerte varer";"2020M06";"12-måneders endring (prosent)";3,2
"B12 Importerte varer";"2020M06";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M07";"Konsumprisindeksen (2015=100)";110,9
"B12 Importerte varer";"2020M07";"Månedsendring (prosent)";0,5
"B12 Importerte varer";"2020M07";"12-måneders endring (prosent)";3,9
"B12 Importerte varer";"2020M07";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M08";"Konsumprisindeksen (2015=100)";110,6
"B12 Importerte varer";"2020M08";"Månedsendring (prosent)";-0,3
"B12 Importerte varer";"2020M08";"12-måneders endring (prosent)";4,6
"B12 Importerte varer";"2020M08";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M09";"Konsumprisindeksen (2015=100)";111,4
"B12 Importerte varer";"2020M09";"Månedsendring (prosent)";0,7
"B12 Importerte varer";"2020M09";"12-måneders endring (prosent)";3,7
"B12 Importerte varer";"2020M09";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M10";"Konsumprisindeksen (2015=100)";111,7
"B12 Importerte varer";"2020M10";"Månedsendring (prosent)";0,3
"B12 Importerte varer";"2020M10";"12-måneders endring (prosent)";4,1
"B12 Importerte varer";"2020M10";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M11";"Konsumprisindeksen (2015=100)";110,9
"B12 Importerte varer";"2020M11";"Månedsendring (prosent)";-0,7
"B12 Importerte varer";"2020M11";"12-måneders endring (prosent)";3,2
"B12 Importerte varer";"2020M11";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2020M12";"Konsumprisindeksen (2015=100)";111,2
"B12 Importerte varer";"2020M12";"Månedsendring (prosent)";0,3
"B12 Importerte varer";"2020M12";"12-måneders endring (prosent)";3,6
"B12 Importerte varer";"2020M12";"Konsumprisindeksen. Vekter";307
"B12 Importerte varer";"2021M01";"Konsumprisindeksen (2015=100)";109,6
"B12 Importerte varer";"2021M01";"Månedsendring (prosent)";-1,4
"B12 Importerte varer";"2021M01";"12-måneders endring (prosent)";3
"B12 Importerte varer";"2021M01";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M02";"Konsumprisindeksen (2015=100)";110,2
"B12 Importerte varer";"2021M02";"Månedsendring (prosent)";0,5
"B12 Importerte varer";"2021M02";"12-måneders endring (prosent)";3,5
"B12 Importerte varer";"2021M02";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M03";"Konsumprisindeksen (2015=100)";111
"B12 Importerte varer";"2021M03";"Månedsendring (prosent)";0,7
"B12 Importerte varer";"2021M03";"12-måneders endring (prosent)";3,5
"B12 Importerte varer";"2021M03";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M04";"Konsumprisindeksen (2015=100)";111,4
"B12 Importerte varer";"2021M04";"Månedsendring (prosent)";0,4
"B12 Importerte varer";"2021M04";"12-måneders endring (prosent)";1,9
"B12 Importerte varer";"2021M04";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M05";"Konsumprisindeksen (2015=100)";110,6
"B12 Importerte varer";"2021M05";"Månedsendring (prosent)";-0,7
"B12 Importerte varer";"2021M05";"12-måneders endring (prosent)";0,5
"B12 Importerte varer";"2021M05";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M06";"Konsumprisindeksen (2015=100)";111,2
"B12 Importerte varer";"2021M06";"Månedsendring (prosent)";0,5
"B12 Importerte varer";"2021M06";"12-måneders endring (prosent)";0,7
"B12 Importerte varer";"2021M06";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M07";"Konsumprisindeksen (2015=100)";111,6
"B12 Importerte varer";"2021M07";"Månedsendring (prosent)";0,4
"B12 Importerte varer";"2021M07";"12-måneders endring (prosent)";0,6
"B12 Importerte varer";"2021M07";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M08";"Konsumprisindeksen (2015=100)";110,4
"B12 Importerte varer";"2021M08";"Månedsendring (prosent)";-1,1
"B12 Importerte varer";"2021M08";"12-måneders endring (prosent)";-0,2
"B12 Importerte varer";"2021M08";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M09";"Konsumprisindeksen (2015=100)";112
"B12 Importerte varer";"2021M09";"Månedsendring (prosent)";1,4
"B12 Importerte varer";"2021M09";"12-måneders endring (prosent)";0,5
"B12 Importerte varer";"2021M09";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M10";"Konsumprisindeksen (2015=100)";111,6
"B12 Importerte varer";"2021M10";"Månedsendring (prosent)";-0,4
"B12 Importerte varer";"2021M10";"12-måneders endring (prosent)";-0,1
"B12 Importerte varer";"2021M10";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M11";"Konsumprisindeksen (2015=100)";111,3
"B12 Importerte varer";"2021M11";"Månedsendring (prosent)";-0,3
"B12 Importerte varer";"2021M11";"12-måneders endring (prosent)";0,4
"B12 Importerte varer";"2021M11";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2021M12";"Konsumprisindeksen (2015=100)";111,9
"B12 Importerte varer";"2021M12";"Månedsendring (prosent)";0,5
"B12 Importerte varer";"2021M12";"12-måneders endring (prosent)";0,6
"B12 Importerte varer";"2021M12";"Konsumprisindeksen. Vekter";320,4
"B12 Importerte varer";"2022M01";"Konsumprisindeksen (2015=100)";111
"B12 Importerte varer";"2022M01";"Månedsendring (prosent)";-0,8
"B12 Importerte varer";"2022M01";"12-måneders endring (prosent)";1,3
"B12 Importerte varer";"2022M01";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M02";"Konsumprisindeksen (2015=100)";112,8
"B12 Importerte varer";"2022M02";"Månedsendring (prosent)";1,6
"B12 Importerte varer";"2022M02";"12-måneders endring (prosent)";2,4
"B12 Importerte varer";"2022M02";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M03";"Konsumprisindeksen (2015=100)";113,2
"B12 Importerte varer";"2022M03";"Månedsendring (prosent)";0,4
"B12 Importerte varer";"2022M03";"12-måneders endring (prosent)";2
"B12 Importerte varer";"2022M03";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M04";"Konsumprisindeksen (2015=100)";113,9
"B12 Importerte varer";"2022M04";"Månedsendring (prosent)";0,6
"B12 Importerte varer";"2022M04";"12-måneders endring (prosent)";2,2
"B12 Importerte varer";"2022M04";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M05";"Konsumprisindeksen (2015=100)";115,2
"B12 Importerte varer";"2022M05";"Månedsendring (prosent)";1,1
"B12 Importerte varer";"2022M05";"12-måneders endring (prosent)";4,2
"B12 Importerte varer";"2022M05";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M06";"Konsumprisindeksen (2015=100)";115,2
"B12 Importerte varer";"2022M06";"Månedsendring (prosent)";0
"B12 Importerte varer";"2022M06";"12-måneders endring (prosent)";3,6
"B12 Importerte varer";"2022M06";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M07";"Konsumprisindeksen (2015=100)";116,4
"B12 Importerte varer";"2022M07";"Månedsendring (prosent)";1
"B12 Importerte varer";"2022M07";"12-måneders endring (prosent)";4,3
"B12 Importerte varer";"2022M07";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M08";"Konsumprisindeksen (2015=100)";115,4
"B12 Importerte varer";"2022M08";"Månedsendring (prosent)";-0,9
"B12 Importerte varer";"2022M08";"12-måneders endring (prosent)";4,5
"B12 Importerte varer";"2022M08";"Konsumprisindeksen. Vekter";340,4
"B12 Importerte varer";"2022M09";"Konsumprisindeksen (2015=100)";117,7
"B12 Importerte varer";"2022M09";"Månedsendring (prosent)";2
"B12 Importerte varer";"2022M09";"12-måneders endring (prosent)";5,1
"B12 Importerte varer";"2022M09";"Konsumprisindeksen. Vekter";340,4
"B121 Importerte jordbruksvarer";"2015M01";"Konsumprisindeksen (2015=100)";94,8
"B121 Importerte jordbruksvarer";"2015M01";"Månedsendring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M01";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M01";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M02";"Konsumprisindeksen (2015=100)";96,9
"B121 Importerte jordbruksvarer";"2015M02";"Månedsendring (prosent)";2,2
"B121 Importerte jordbruksvarer";"2015M02";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M02";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M03";"Konsumprisindeksen (2015=100)";95,8
"B121 Importerte jordbruksvarer";"2015M03";"Månedsendring (prosent)";-1,1
"B121 Importerte jordbruksvarer";"2015M03";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M03";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M04";"Konsumprisindeksen (2015=100)";97
"B121 Importerte jordbruksvarer";"2015M04";"Månedsendring (prosent)";1,3
"B121 Importerte jordbruksvarer";"2015M04";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M04";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M05";"Konsumprisindeksen (2015=100)";101
"B121 Importerte jordbruksvarer";"2015M05";"Månedsendring (prosent)";4,1
"B121 Importerte jordbruksvarer";"2015M05";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M05";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M06";"Konsumprisindeksen (2015=100)";101,6
"B121 Importerte jordbruksvarer";"2015M06";"Månedsendring (prosent)";0,6
"B121 Importerte jordbruksvarer";"2015M06";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M06";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M07";"Konsumprisindeksen (2015=100)";102,2
"B121 Importerte jordbruksvarer";"2015M07";"Månedsendring (prosent)";0,6
"B121 Importerte jordbruksvarer";"2015M07";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M07";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M08";"Konsumprisindeksen (2015=100)";102,1
"B121 Importerte jordbruksvarer";"2015M08";"Månedsendring (prosent)";-0,1
"B121 Importerte jordbruksvarer";"2015M08";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M08";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M09";"Konsumprisindeksen (2015=100)";104
"B121 Importerte jordbruksvarer";"2015M09";"Månedsendring (prosent)";1,9
"B121 Importerte jordbruksvarer";"2015M09";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M09";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M10";"Konsumprisindeksen (2015=100)";103,1
"B121 Importerte jordbruksvarer";"2015M10";"Månedsendring (prosent)";-0,9
"B121 Importerte jordbruksvarer";"2015M10";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M10";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M11";"Konsumprisindeksen (2015=100)";103,9
"B121 Importerte jordbruksvarer";"2015M11";"Månedsendring (prosent)";0,8
"B121 Importerte jordbruksvarer";"2015M11";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M11";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2015M12";"Konsumprisindeksen (2015=100)";97,6
"B121 Importerte jordbruksvarer";"2015M12";"Månedsendring (prosent)";-6,1
"B121 Importerte jordbruksvarer";"2015M12";"12-måneders endring (prosent)";..
"B121 Importerte jordbruksvarer";"2015M12";"Konsumprisindeksen. Vekter";20,8
"B121 Importerte jordbruksvarer";"2016M01";"Konsumprisindeksen (2015=100)";92,5
"B121 Importerte jordbruksvarer";"2016M01";"Månedsendring (prosent)";-5,2
"B121 Importerte jordbruksvarer";"2016M01";"12-måneders endring (prosent)";-2,4
"B121 Importerte jordbruksvarer";"2016M01";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M02";"Konsumprisindeksen (2015=100)";95,2
"B121 Importerte jordbruksvarer";"2016M02";"Månedsendring (prosent)";2,9
"B121 Importerte jordbruksvarer";"2016M02";"12-måneders endring (prosent)";-1,8
"B121 Importerte jordbruksvarer";"2016M02";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M03";"Konsumprisindeksen (2015=100)";95
"B121 Importerte jordbruksvarer";"2016M03";"Månedsendring (prosent)";-0,2
"B121 Importerte jordbruksvarer";"2016M03";"12-måneders endring (prosent)";-0,8
"B121 Importerte jordbruksvarer";"2016M03";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M04";"Konsumprisindeksen (2015=100)";98,3
"B121 Importerte jordbruksvarer";"2016M04";"Månedsendring (prosent)";3,5
"B121 Importerte jordbruksvarer";"2016M04";"12-måneders endring (prosent)";1,3
"B121 Importerte jordbruksvarer";"2016M04";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M05";"Konsumprisindeksen (2015=100)";99,8
"B121 Importerte jordbruksvarer";"2016M05";"Månedsendring (prosent)";1,5
"B121 Importerte jordbruksvarer";"2016M05";"12-måneders endring (prosent)";-1,2
"B121 Importerte jordbruksvarer";"2016M05";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M06";"Konsumprisindeksen (2015=100)";102,8
"B121 Importerte jordbruksvarer";"2016M06";"Månedsendring (prosent)";3
"B121 Importerte jordbruksvarer";"2016M06";"12-måneders endring (prosent)";1,2
"B121 Importerte jordbruksvarer";"2016M06";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M07";"Konsumprisindeksen (2015=100)";106,2
"B121 Importerte jordbruksvarer";"2016M07";"Månedsendring (prosent)";3,3
"B121 Importerte jordbruksvarer";"2016M07";"12-måneders endring (prosent)";3,9
"B121 Importerte jordbruksvarer";"2016M07";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M08";"Konsumprisindeksen (2015=100)";105,2
"B121 Importerte jordbruksvarer";"2016M08";"Månedsendring (prosent)";-0,9
"B121 Importerte jordbruksvarer";"2016M08";"12-måneders endring (prosent)";3
"B121 Importerte jordbruksvarer";"2016M08";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M09";"Konsumprisindeksen (2015=100)";104,9
"B121 Importerte jordbruksvarer";"2016M09";"Månedsendring (prosent)";-0,3
"B121 Importerte jordbruksvarer";"2016M09";"12-måneders endring (prosent)";0,9
"B121 Importerte jordbruksvarer";"2016M09";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M10";"Konsumprisindeksen (2015=100)";103,3
"B121 Importerte jordbruksvarer";"2016M10";"Månedsendring (prosent)";-1,5
"B121 Importerte jordbruksvarer";"2016M10";"12-måneders endring (prosent)";0,2
"B121 Importerte jordbruksvarer";"2016M10";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M11";"Konsumprisindeksen (2015=100)";98,4
"B121 Importerte jordbruksvarer";"2016M11";"Månedsendring (prosent)";-4,7
"B121 Importerte jordbruksvarer";"2016M11";"12-måneders endring (prosent)";-5,3
"B121 Importerte jordbruksvarer";"2016M11";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2016M12";"Konsumprisindeksen (2015=100)";95,6
"B121 Importerte jordbruksvarer";"2016M12";"Månedsendring (prosent)";-2,8
"B121 Importerte jordbruksvarer";"2016M12";"12-måneders endring (prosent)";-2
"B121 Importerte jordbruksvarer";"2016M12";"Konsumprisindeksen. Vekter";22,1
"B121 Importerte jordbruksvarer";"2017M01";"Konsumprisindeksen (2015=100)";95,8
