"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B1 Varer";"2018M09";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M10";"Konsumprisindeksen (2015=100)";109,9
"B1 Varer";"2018M10";"Månedsendring (prosent)";-0,4
"B1 Varer";"2018M10";"12-måneders endring (prosent)";4
"B1 Varer";"2018M10";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M11";"Konsumprisindeksen (2015=100)";111
"B1 Varer";"2018M11";"Månedsendring (prosent)";1
"B1 Varer";"2018M11";"12-måneders endring (prosent)";4,1
"B1 Varer";"2018M11";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M12";"Konsumprisindeksen (2015=100)";110,6
"B1 Varer";"2018M12";"Månedsendring (prosent)";-0,4
"B1 Varer";"2018M12";"12-måneders endring (prosent)";4,2
"B1 Varer";"2018M12";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2019M01";"Konsumprisindeksen (2015=100)";109,2
"B1 Varer";"2019M01";"Månedsendring (prosent)";-1,3
"B1 Varer";"2019M01";"12-måneders endring (prosent)";3,5
"B1 Varer";"2019M01";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M02";"Konsumprisindeksen (2015=100)";110,8
"B1 Varer";"2019M02";"Månedsendring (prosent)";1,5
"B1 Varer";"2019M02";"12-måneders endring (prosent)";3,6
"B1 Varer";"2019M02";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M03";"Konsumprisindeksen (2015=100)";110,8
"B1 Varer";"2019M03";"Månedsendring (prosent)";0
"B1 Varer";"2019M03";"12-måneders endring (prosent)";3,1
"B1 Varer";"2019M03";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M04";"Konsumprisindeksen (2015=100)";110,8
"B1 Varer";"2019M04";"Månedsendring (prosent)";0
"B1 Varer";"2019M04";"12-måneders endring (prosent)";2,7
"B1 Varer";"2019M04";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M05";"Konsumprisindeksen (2015=100)";110,6
"B1 Varer";"2019M05";"Månedsendring (prosent)";-0,2
"B1 Varer";"2019M05";"12-måneders endring (prosent)";2,4
"B1 Varer";"2019M05";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M06";"Konsumprisindeksen (2015=100)";110,1
"B1 Varer";"2019M06";"Månedsendring (prosent)";-0,5
"B1 Varer";"2019M06";"12-måneders endring (prosent)";1,4
"B1 Varer";"2019M06";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M07";"Konsumprisindeksen (2015=100)";111,1
"B1 Varer";"2019M07";"Månedsendring (prosent)";0,9
"B1 Varer";"2019M07";"12-måneders endring (prosent)";1,2
"B1 Varer";"2019M07";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M08";"Konsumprisindeksen (2015=100)";109,8
"B1 Varer";"2019M08";"Månedsendring (prosent)";-1,2
"B1 Varer";"2019M08";"12-måneders endring (prosent)";0,3
"B1 Varer";"2019M08";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M09";"Konsumprisindeksen (2015=100)";110,5
"B1 Varer";"2019M09";"Månedsendring (prosent)";0,6
"B1 Varer";"2019M09";"12-måneders endring (prosent)";0,2
"B1 Varer";"2019M09";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M10";"Konsumprisindeksen (2015=100)";110,5
"B1 Varer";"2019M10";"Månedsendring (prosent)";0
"B1 Varer";"2019M10";"12-måneders endring (prosent)";0,5
"B1 Varer";"2019M10";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M11";"Konsumprisindeksen (2015=100)";111,3
"B1 Varer";"2019M11";"Månedsendring (prosent)";0,7
"B1 Varer";"2019M11";"12-måneders endring (prosent)";0,3
"B1 Varer";"2019M11";"Konsumprisindeksen. Vekter";484,9
"B1 Varer";"2019M12";"Konsumprisindeksen (2015=100)";110,5
"B1 Varer";"2019M12";"Månedsendring (prosent)";-0,7
"B1 Varer";"2019M12";"12-måneders endring (prosent)";-0,1
